Novak Djokovic;Wimbledon;Round of 32;Sam Querrey;41;L;676 16 63 675
Novak Djokovic;Wimbledon;Round of 64;Adrian Mannarino;55;W;64 63 765
Novak Djokovic;Wimbledon;Round of 128;James Ward;177;W;60 763 64
Novak Djokovic;Roland Garros;Finals;Andy Murray;2;W;36 61 62 64
Novak Djokovic;Roland Garros;Semi-Finals;Dominic Thiem;15;W;62 61 64
Novak Djokovic;Roland Garros;Quarter-Finals;Tomas Berdych;8;W;63 75 63
Novak Djokovic;Roland Garros;Round of 16;Roberto Bautista Agut;16;W;36 64 61 75
Novak Djokovic;Roland Garros;Round of 32;Aljaz Bedene;66;W;62 63 63
Novak Djokovic;Roland Garros;Round of 64;Steve Darcis;161;W;75 63 64
Novak Djokovic;Roland Garros;Round of 128;Yen-Hsun Lu;95;W;64 61 61
Novak Djokovic;ATP Masters 1000 Rome;Finals;Andy Murray;3;L;36 36
Novak Djokovic;ATP Masters 1000 Rome;Semi-Finals;Kei Nishikori;6;W;26 64 765
Novak Djokovic;ATP Masters 1000 Rome;Quarter-Finals;Rafael Nadal;5;W;75 764
Novak Djokovic;ATP Masters 1000 Rome;Round of 16;Thomaz Bellucci;37;W;06 63 62
Novak Djokovic;ATP Masters 1000 Rome;Round of 32;Stephane Robert;103;W;75 75
Novak Djokovic;ATP Masters 1000 Rome;Round of 64;Bye;;;
Novak Djokovic;ATP Masters 1000 Madrid;Finals;Andy Murray;2;W;62 36 63
Novak Djokovic;ATP Masters 1000 Madrid;Semi-Finals;Kei Nishikori;6;W;63 764
Novak Djokovic;ATP Masters 1000 Madrid;Quarter-Finals;Milos Raonic;10;W;63 64
Novak Djokovic;ATP Masters 1000 Madrid;Round of 16;Roberto Bautista Agut;17;W;62 61
Novak Djokovic;ATP Masters 1000 Madrid;Round of 32;Borna Coric;40;W;62 64
Novak Djokovic;ATP Masters 1000 Madrid;Round of 64;Bye;;;
Novak Djokovic;ATP Masters 1000 Monte Carlo;Round of 32;Jiri Vesely;55;L;46 62 46
Novak Djokovic;ATP Masters 1000 Monte Carlo;Round of 64;Bye;;;
Novak Djokovic;ATP Masters 1000 Miami;Finals;Kei Nishikori;6;W;63 63
Novak Djokovic;ATP Masters 1000 Miami;Semi-Finals;David Goffin;15;W;765 64
Novak Djokovic;ATP Masters 1000 Miami;Quarter-Finals;Tomas Berdych;7;W;63 63
Novak Djokovic;ATP Masters 1000 Miami;Round of 16;Dominic Thiem;14;W;63 64
Novak Djokovic;ATP Masters 1000 Miami;Round of 32;Joao Sousa;38;W;64 61
Novak Djokovic;ATP Masters 1000 Miami;Round of 64;Kyle Edmund;87;W;63 63
Novak Djokovic;ATP Masters 1000 Miami;Round of 128;Bye;;;
Novak Djokovic;ATP Masters 1000 Indian Wells;Finals;Milos Raonic;14;W;62 60
Novak Djokovic;ATP Masters 1000 Indian Wells;Semi-Finals;Rafael Nadal;5;W;765 62
Novak Djokovic;ATP Masters 1000 Indian Wells;Quarter-Finals;Jo-Wilfried Tsonga;9;W;762 762
Novak Djokovic;ATP Masters 1000 Indian Wells;Round of 16;Feliciano Lopez;21;W;63 63
Novak Djokovic;ATP Masters 1000 Indian Wells;Round of 32;Philipp Kohlschreiber;30;W;75 75
Novak Djokovic;ATP Masters 1000 Indian Wells;Round of 64;Bjorn Fratangelo;149;W;26 61 62
Novak Djokovic;ATP Masters 1000 Indian Wells;Round of 128;Bye;;;
Novak Djokovic;SRB vs. KAZ WG 1st RD;Round Robin;Mikhail Kukushkin;79;W;676 763 46 63 62
Novak Djokovic;SRB vs. KAZ WG 1st RD;Round Robin;Aleksandr Nedovyesov;200;W;61 62 63
Novak Djokovic;Dubai;Quarter-Finals;Feliciano Lopez;24;L;36 (RET)
Novak Djokovic;Dubai;Round of 16;Malek Jaziri;121;W;61 62
Novak Djokovic;Dubai;Round of 32;Tommy Robredo;41;W;61 62
Novak Djokovic;Australian Open;Finals;Andy Murray;2;W;61 75 763
Novak Djokovic;Australian Open;Semi-Finals;Roger Federer;3;W;61 62 36 63
Novak Djokovic;Australian Open;Quarter-Finals;Kei Nishikori;7;W;63 62 64
Novak Djokovic;Australian Open;Round of 16;Gilles Simon;15;W;63 671 64 46 63
Novak Djokovic;Australian Open;Round of 32;Andreas Seppi;29;W;61 75 766
Novak Djokovic;Australian Open;Round of 64;Quentin Halys;187;W;61 62 763
Novak Djokovic;Australian Open;Round of 128;Hyeon Chung;52;W;63 62 64
Novak Djokovic;Doha;Finals;Rafael Nadal;5;W;61 62
Novak Djokovic;Doha;Semi-Finals;Tomas Berdych;6;W;63 763
Novak Djokovic;Doha;Quarter-Finals;Leonardo Mayer;35;W;63 75
